state,county,city,density,impervious,rel
Massachusetts,Essex,Gloucester,246.6891580549892,4.0,4.056712333221103
Massachusetts,Essex,Hamilton,85.57249620445671,0.0,1.337854908739165
Massachusetts,Essex,Haverhill,334.71748834186434,90.0,1.6991634982723005
Massachusetts,Essex,Lawrence,1699.7953481613567,99.0,0.9063723991257012
Massachusetts,Essex,Lynn,1354.0851380940692,46.0,0.8637913684540357
Massachusetts,Essex,Nahant,621.2526549488821,0.0,0.6313015025637018
Massachusetts,Essex,Newbury,55.340440929175585,0.0,1.969615301586368
Massachusetts,Essex,Newburyport,455.7275862459602,43.0,0.0556392795992586
Massachusetts,Essex,North Andover,184.89672151245668,0.0,0.1566319286478118
Massachusetts,Essex,Rockport,275.99679876866196,29.0,0.1857151818045164
Massachusetts,Essex,Salem,994.5975175981844,55.0,0.3730271124797176
Massachusetts,Essex,Salisbury,137.47873838820772,0.0,0.5156991109354724
Massachusetts,Essex,Saugus,423.2204138795369,51.0,0.4153626571796416
Massachusetts,Essex,Swampscott,803.5221586982456,32.0,0.0905356643417445
Massachusetts,Essex,Topsfield,90.53988642209345,36.0,0.8264542244161691
Massachusetts,Essex,Wenham,76.92686160988664,0.0,1.6455897429806732
Massachusetts,Essex,West Newbury,52.026814827090945,0.0,0.6776331303136203
Massachusetts,Franklin,Charlemont,11.781319472186883,0.0,1.06260336870515
Massachusetts,Franklin,Erving,11.44961472466364,0.0,0.511608709007391
Massachusetts,Franklin,Hawley,2.710140151478598,0.0,0.1057074826895794
Massachusetts,Franklin,Heath,9.457915686247755,0.0,5.614351926788336
Massachusetts,Franklin,Monroe,3.3237091481373193,0.0,1.2844245300831392
Massachusetts,Franklin,New Salem,4.468498191931762,0.0,1.0746298841353834
Massachusetts,Franklin,Orange,44.31088827540283,0.0,0.0645561760382071
Massachusetts,Franklin,Rowe,4.134805260309136,0.0,5.051882766349127
Massachusetts,Franklin,Shutesbury,12.786339180073815,0.0,1.4847562156191227
Massachusetts,Franklin,Warwick,4.827715727847047,0.0,1.1538679847153264
Massachusetts,Franklin,Wendell,5.903177202700571,0.0,0.4068509104515316
Massachusetts,Hampden,Brimfield,20.031833959814875,0.0,2.386194969911512
Massachusetts,Hampden,East Longmeadow,203.0443399233851,0.0,0.2552904674779652
Massachusetts,Hampden,Hampden,42.822054929415074,0.0,0.6608011700535357
Massachusetts,Hampden,Holland,46.14940290751927,0.0,0.1964708829955107
Massachusetts,Hampden,Monson,33.68976731708393,0.0,0.6634409203815156
Massachusetts,Hampden,Wales,24.731051651573452,0.0,0.2918899057796286
Massachusetts,Hampden,Wilbraham,107.33044521957764,31.0,2.605780577676923
Massachusetts,Hampshire,Belchertown,50.33840539866699,3.0,1.9069453658213524
Massachusetts,Hampshire,Goshen,14.840734482009156,0.0,3.4282121414039985
Massachusetts,Hampshire,Granby,36.850041773790295,0.0,1.9320204118575768
Massachusetts,Hampshire,Northampton,168.4310530714421,5.0,0.1866891309883979
Massachusetts,Hampshire,Ware,56.67643138905206,0.0,1.4798098586152406
Massachusetts,Hampshire,Williamsburg,22.271639827576685,0.0,0.6061262316859866
Massachusetts,Middlesex,Acton,203.24696451591356,39.0,1.1814043552435038
Massachusetts,Middlesex,Arlington,1617.2990025454817,54.0,1.728299966318719
Massachusetts,Middlesex,Ashby,22.988817058126465,0.0,0.5330260449113862
Massachusetts,Middlesex,Ashland,255.39491639876957,57.0,0.6806775084071118
Massachusetts,Middlesex,Ayer,176.21355218561757,77.0,2.066905591416298
Massachusetts,Middlesex,Bedford,175.94681059526485,0.0,1.3577175120338656
Massachusetts,Middlesex,Billerica,251.40171705621452,52.0,1.3603377290824898
Massachusetts,Middlesex,Burlington,387.1207639340802,68.0,0.5589033426327804
Massachusetts,Middlesex,Cambridge,3323.5390814311136,78.0,1.1413778329023514
Massachusetts,Middlesex,Carlisle,51.89519718165349,1.0,3.467754567493402
Massachusetts,Middlesex,Chelmsford,270.25978024897296,0.0,1.7293561309277032
Massachusetts,Middlesex,Dracut,246.8954913477052,0.0,3.032961335618567
Massachusetts,Middlesex,Dunstable,30.43111885745109,0.0,0.8783903461338459
Massachusetts,Middlesex,Everett,2106.862850586228,96.0,0.4512723855510577
Massachusetts,Middlesex,Framingham,467.7685701701882,0.0,0.8652856322052548
Massachusetts,Middlesex,Holliston,131.71266323708747,0.0,1.4286864033824067
Massachusetts,Middlesex,Hopkinton,105.41065532714975,0.0,0.1277359256520965
Massachusetts,Middlesex,Lexington,314.88862594652204,60.0,1.276953922745693
Massachusetts,Middlesex,Lincoln,69.92995796957159,0.0,3.207560365859754
Massachusetts,Middlesex,Lowell,1230.6882816337215,79.0,0.6053492091179195
Massachusetts,Middlesex,Malden,2101.410668348244,92.0,0.0199012871118057
Massachusetts,Middlesex,Marlborough,357.11468947917325,80.0,0.6193197904381047
Massachusetts,Middlesex,Maynard,373.3935703094387,63.0,0.0988020549471542
Massachusetts,Middlesex,Medford,1216.7671079624774,53.0,0.0046294140383085
Massachusetts,Middlesex,Melrose,1038.2383510333043,72.0,0.5114695950595441
Massachusetts,Middlesex,Natick,444.82925992609495,90.0,0.6228775851441204
Massachusetts,Middlesex,Newton,882.7124477030559,10.0,0.7531273388952756
Massachusetts,Middlesex,Pepperell,85.37066493929763,0.0,2.0729702600097832
Massachusetts,Middlesex,Sherborn,43.750569808986334,0.0,1.337489285040922
