state,county,city,town_tracked,aland_sqkm,density,lat,lon,rel
Massachusetts,Bristol,Acushnet,4634.0,47.725793,97.09634368987855,41.718217,-70.901151,0.185011957039218
Massachusetts,Bristol,Attleboro,20009.0,69.358022,288.4886192400354,41.931653,-71.294503,1.141517739361999
Massachusetts,Bristol,Dartmouth,14878.0,157.799666,94.28410323758226,41.56651,-70.958229,0.7076927468125412
Massachusetts,Bristol,Dighton,2777.0,57.059612,48.66839963790851,41.829273,-71.152087,0.2026551829675457
Massachusetts,Bristol,Easton,10062.0,74.488365,135.0814989696713,42.039187,-71.109,4.518575843145026
Massachusetts,Bristol,Fairhaven,8310.0,32.068598,259.13200196653435,41.633667,-70.871362,0.2635825883049195
Massachusetts,Bristol,Fall River,44678.0,85.787945,520.7957831371297,41.725351,-71.094162,0.6678589034544979
Massachusetts,Bristol,Freetown,4201.0,89.259286,47.06513112820553,41.779379,-71.019526,1.241838700873949
Massachusetts,Bristol,New Bedford,47702.0,51.802064,920.8513390508919,41.661303,-70.937913,0.35174119542174187
Massachusetts,Bristol,Norton,7680.0,72.087913,106.53658401790602,41.965341,-71.18178,4.841682929624779
Massachusetts,Bristol,Rehoboth,5174.0,121.557135,42.56434638740046,41.846878,-71.24487,1.1631912134409796
Massachusetts,Bristol,Seekonk,6647.0,47.643806,139.51446280341247,41.839798,-71.318047,1.0727268534868752
Massachusetts,Bristol,Somerset,7876.0,20.456373,385.014489127667,41.738483,-71.165053,0.12740874236346614
Massachusetts,Bristol,Swansea,7458.0,58.739288,126.96783113884526,41.758163,-71.214181,1.671146953749809
Massachusetts,Bristol,Westport,8977.0,129.035325,69.57009640577105,41.579794,-71.081822,0.33227344632278777
Massachusetts,Dukes,Aquinnah,558.0,13.806,40.41720990873534,41.334,-70.823432,7.384188745147205
Massachusetts,Dukes,Chilmark,1851.0,49.301762,37.544297098347116,41.303014,-70.778694,7.030841668334228
Massachusetts,Dukes,Edgartown,6090.0,69.445842,87.69423517105604,41.375934,-70.48076,0.0
Massachusetts,Dukes,Oak Bluffs,4824.0,18.874981,255.57641620937264,41.45716,-70.556101,0.0
Massachusetts,Dukes,Tisbury,3919.0,16.884798,232.10227329933116,41.473071,-70.617422,0.0
Massachusetts,Dukes,West Tisbury,2688.0,64.827903,41.46362716683894,41.394406,-70.656447,1.0400054881403282
Massachusetts,Essex,Amesbury,8028.0,,,,,0.2571278475701926
Massachusetts,Essex,Andover,14171.0,79.811577,177.55569470830028,42.648044,-71.161751,0.8941398682218018
Massachusetts,Essex,Beverly,19280.0,39.082255,493.31851501403895,42.556659,-70.84496,0.22991345602672153
Massachusetts,Essex,Boxford,3037.0,61.01918,49.771235863871,42.683108,-71.027188,1.181596090666669
Massachusetts,Essex,Essex,2051.0,36.161205,56.71824265811938,42.640451,-70.771165,0.7589740057278983
Massachusetts,Essex,Gloucester,16735.0,67.838409,246.68915805498918,42.62885,-70.685875,4.056712333221103
Massachusetts,Essex,Hamilton,3142.0,36.717405,85.57249620445671,42.626223,-70.85723,1.337854908739165
Massachusetts,Essex,Haverhill,28639.0,85.561708,334.71748834186434,42.782945,-71.087436,1.6991634982723003
Massachusetts,Essex,Lawrence,30508.0,17.948043,1699.7953481613567,42.700273,-71.161357,0.9063723991257013
Massachusetts,Essex,Lynn,37662.0,27.813613,1354.0851380940692,42.474766,-70.962035,0.8637913684540357
Massachusetts,Essex,Manchester,2687.0,,,,,2.7909227663982734
Massachusetts,Essex,Methuen,20515.0,,,,,1.1620203956198292
Massachusetts,Essex,Nahant,1731.0,2.786306,621.2526549488821,42.41824,-70.932728,0.6313015025637018
Massachusetts,Essex,Newbury,3350.0,60.534393,55.340440929175585,42.770406,-70.872417,1.969615301586368
Massachusetts,Essex,Newburyport,9856.0,21.626955,455.7275862459602,42.812141,-70.886646,0.05563927959925861
Massachusetts,Essex,North Andover,12587.0,68.075842,184.89672151245668,42.673909,-71.091334,0.1566319286478118
Massachusetts,Essex,Rockport,4995.0,18.098036,275.99679876866196,42.656952,-70.60463,0.18571518180451643
Massachusetts,Essex,Salem,21365.0,21.481051,994.5975175981845,42.499248,-70.898204,0.37302711247971765
