legacy_county_fips,legacy_county_name,planning_region_fips,planning_region_name,planning_town_name,pous_city_name,pous_tracked_customers_2019q1,pilot_customer_density,pilot_within_county_relative_rate,planning_cousub_geoid,gazetteer_name,gazetteer_land_area_sq_m,gazetteer_lat,gazetteer_lon,bridge_status,bridge_note
09003,Hartford,09110,Capitol Planning Region,East Hartford,East Hartford,23223.0,497.93824022026183,0.7573537291859674,0911022630,East Hartford town,46638314,41.760695,-72.607646,matched,
09003,Hartford,09110,Capitol Planning Region,East Windsor,East Windsor,6254.0,91.98546553161643,0.7219238074797402,0911024800,East Windsor town,67989002,41.904009,-72.564473,matched,
09003,Hartford,09110,Capitol Planning Region,Enfield,Enfield,19403.0,224.85063911270782,0.3092785490782945,0911025990,Enfield town,86292839,41.983993,-72.555553,matched,
09003,Hartford,09110,Capitol Planning Region,Farmington,Farmington,12767.0,176.66776612957196,4.33800582485356,0911027600,Farmington town,72265588,41.729774,-72.842031,matched,
09003,Hartford,09110,Capitol Planning Region,Glastonbury,Glastonbury,16030.0,120.74566527016233,2.220356687771331,0911031240,Glastonbury town,132758389,41.691883,-72.552173,matched,
09003,Hartford,09110,Capitol Planning Region,Granby,Granby,4843.0,45.90621145828517,0.5577074942862846,0911032640,Granby town,105497706,41.97148,-72.830159,matched,
09003,Hartford,09110,Capitol Planning Region,Hartford,Hartford,59069.0,1312.2756366671792,0.3740530645278883,0911037070,Hartford town,45012647,41.765933,-72.681579,matched,
09003,Hartford,09110,Capitol Planning Region,Manchester,Manchester,29149.0,410.41562745113833,0.9350784552914719,0911044700,Manchester town,71023124,41.77524,-72.524434,matched,
09003,Hartford,09110,Capitol Planning Region,Marlborough,Marlborough,2646.0,43.7505801581562,4.554867607678321,0911045820,Marlborough town,60479198,41.636439,-72.454002,matched,
09003,Hartford,09110,Capitol Planning Region,New Britain,New Britain,34606.0,997.4553733404614,0.18374076970685854,0911050440,New Britain town,34694284,41.676555,-72.786161,matched,
09003,Hartford,09110,Capitol Planning Region,Newington,Newington,14823.0,435.5337990740933,1.3540908058673164,0911052140,Newington town,34034098,41.686993,-72.730839,matched,
09003,Hartford,09110,Capitol Planning Region,Plainville,Plainville,9442.0,375.57978787259947,0.11927803073299151,0911060120,Plainville town,25139798,41.673992,-72.854434,matched,
09003,Hartford,09110,Capitol Planning Region,Rocky Hill,Rocky Hill,10194.0,292.360092187785,0.01536583239374047,0911065370,Rocky Hill town,34867960,41.656624,-72.661779,matched,
09003,Hartford,09110,Capitol Planning Region,Simsbury,Simsbury,10989.0,125.04079556941625,2.8927777615401626,0911068940,Simsbury town,87883318,41.87253,-72.828438,matched,
09003,Hartford,09110,Capitol Planning Region,South Windsor,South Windsor,12148.0,167.17059583161742,0.5705811330500888,0911071390,South Windsor town,72668282,41.83809,-72.577836,matched,
09003,Hartford,09110,Capitol Planning Region,Southington,Southington,20046.0,215.74835798612952,1.2967770911106062,0911070550,Southington town,92913801,41.60716,-72.87876,matched,
09003,Hartford,09110,Capitol Planning Region,Suffield,Suffield,6298.0,57.502688373940664,1.8231085927458044,0911074540,Suffield town,109525314,41.999915,-72.678751,matched,
09003,Hartford,09110,Capitol Planning Region,West Hartford,West Hartford,28711.0,507.618889052078,0.7391699746892825,0911082590,West Hartford town,56560149,41.766568,-72.754944,matched,
09003,Hartford,09110,Capitol Planning Region,Wethersfield,Wethersfield,12463.0,391.1490775434921,0.11987008313527549,0911084900,Wethersfield town,31862532,41.702484,-72.669301,matched,
09003,Hartford,09110,Capitol Planning Region,Windsor,Windsor,13404.0,175.34588231120316,1.165266179541308,0911087000,Windsor town,76443198,41.871037,-72.675082,matched,
09003,Hartford,09110,Capitol Planning Region,Windsor Locks,Windsor Locks,6408.0,274.17853087116333,0.16377007228407944,0911087070,Windsor Locks town,23371633,41.92779,-72.651616,matched,
09003,Hartford,09140,Naugatuck Valley Planning Region,Bristol,Bristol,29798.0,435.8099721681555,0.21623451411633518,0914008490,Bristol town,68373837,41.681578,-72.940749,matched,
09003,Hartford,09160,Northwest Hills Planning Region,Burlington,Burlington,3909.0,50.813926265600195,2.3220567150727196,0916010100,Burlington town,76927730,41.749079,-72.948657,matched,
09003,Hartford,09160,Northwest Hills Planning Region,Hartland,Hartland,874.0,10.227464784785061,1.0,0916037140,Hartland town,85456173,42.001205,-72.954027,matched,
09005,Litchfield,09140,Naugatuck Valley Planning Region,Bethlehem,Bethlehem,1916.0,38.18167770889687,0.7986505069722301,0914004930,Bethlehem town,50181137,41.635759,-73.211422,matched,
